team,year,new_coach
Georgia Tech,2024,Damon Stoudamire
Green Bay,2024,Sundance Wicks
High Point,2024,Alan Huss
Holy Cross,2024,Dave Paulsen
Idaho,2024,Alex Pribble
Incarnate Word,2024,Shane Heirman
Iona,2024,Tobin Anderson
Kennesaw St.,2024,Antoine Pettway
Lafayette,2024,Mike McGarvey
Le Moyne,2024,Nate Champion
Manhattan,2024,John Gallagher
McNeese St.,2024,Will Wade
Mississippi,2024,Chris Beard
Montana St.,2024,Matt Logie
NJIT,2024,Grant Billmeier
New Hampshire,2024,Nathan Davis
New Mexico St.,2024,Jason Hooten
Nicholls St.,2024,Tevon Saddler
North Carolina A&T,2024,Monte Ross
North Texas,2024,Ross Hodge
Northwestern St.,2024,Rick Cabrera
Notre Dame,2024,Micah Shrewsberry
Oral Roberts,2024,Russell Springmann
Penn St.,2024,Mike Rhoades
Providence,2024,Kim English
Quinnipiac,2024,Tom Pecora
Sam Houston St.,2024,Chris Mudge
South Florida,2024,Amir Abdur-Rahim
Southern,2024,Kevin Johnson
Southern Utah,2024,Rob Jeter
St. John's,2024,Rick Pitino
Syracuse,2024,Adrian Autry
Temple,2024,Adam Fisher
Texas A&M Corpus Chris,2024,Jim Shaw
Texas Tech,2024,Grant McCasland
UT Arlington,2024,KT Turner
Utah St.,2024,Danny Sprinkle
Utah Valley,2024,Todd Phillips
VCU,2024,Ryan Odom
Valparaiso,2024,Roger Powell Jr.
West Virginia,2024,Josh Eilert
Western Illinois,2024,Chad Boudreau
Western Kentucky,2024,Steve Lutz
Wichita St.,2024,Paul Mills
